
 Branch Buffer Table: 

Current PC 	 Target PC
0x10078	0x10088
0x100b0	0x100c0
0x100dc	0x10120
0x100f4	0x10108
0x10128	0x10144
0x10198	0x10174
0x1023c	0x10248
0x102ec	0x102c0
0x1032c	0x10338
0x10358	0x10360
0x10368	0x10354
0x10394	0x1039c
0x103d0	0x103f0
0x10408	0x10428
0x10424	0x10414
0x10448	0x10484
0x10450	0x104f0
0x10454	0x104d8
0x10478	0x10464
0x1047c	0x10484
0x10514	0x10484
0x10554	0x10594
0x10570	0x10594
0x1057c	0x105c4
0x10590	0x1057c
0x105d0	0x1062c
0x105d8	0x10588
0x105ec	0x10610
0x105fc	0x10604
0x10600	0x10588
0x10668	0x10688
0x10684	0x10674
0x106bc	0x10714
0x106c8	0x10744
0x106d0	0x106fc
0x80000288	0x80000288
0x800002a0	0x800002a8
0x80000304	0x80000314
0x80000354	0x800007f8
0x80000360	0x800007a0
0x800003b8	0x80000434
0x80000434	0x80000468
0x80000464	0x80000454
0x8000046c	0x80000428
0x8000054c	0x80000514
0x80000630	0x8000061c
0x8000067c	0x80000664
0x8000068c	0x80000754
0x800008c0	0x800008c8
0x800008ec	0x800008f4
0x80000914	0x80000940
0x80000924	0x80000910
0x80000938	0x80000948
0x800009e8	0x80000a24
0x800009f0	0x80000a24
0x80000a04	0x800009dc
0x80000a28	0x800009e4
0x80000ab8	0x80000b60
0x80000ac0	0x80000b60
0x80000adc	0x80000aec
0x80000b34	0x80000b70
0x80000b64	0x80000ab4
0x80000d68	0x80000d78
0x80000e0c	0x80000e1c
0x8000100c	0x80001008
0x8000101c	0x80001008
0x80001154	0x8000132c
0x80001170	0x8000132c
0x80001180	0x8000132c
0x8000118c	0x800013d4
0x8000119c	0x800013a8
0x800011ac	0x8000132c
0x800011c4	0x8000132c
0x800011e4	0x800011f0
0x80001204	0x80001358
0x80001234	0x80001358
0x80001244	0x8000139c
0x80001248	0x80001230
0x80001250	0x80001230
0x80001270	0x80001278
0x8000127c	0x80001284
0x800012c8	0x8000132c
0x800012dc	0x8000133c
0x80001300	0x80001230
0x80001350	0x800012e0
0x80001410	0x80001418
0x800015dc	0x8000163c
0x80001664	0x80001688
0x8000168c	0x80001680
0x800017a0	0x80001960
0x800017bc	0x80001960
0x800017c4	0x80001960
0x800017d4	0x80001960
0x800017e0	0x80001890
0x80001808	0x8000194c
0x8000182c	0x80001920
0x80001838	0x80001998
0x80001840	0x80001984
0x80001850	0x80001860
0x80001858	0x80001860
0x80001870	0x8000190c
0x80001874	0x8000193c
0x8000187c	0x80001884
0x8000189c	0x800018e4
0x800018a0	0x800018f8
0x800018b8	0x80001960
0x800018e4	0x80001918
0x80001900	0x800018b4
0x800019e0	0x800019dc
0x800019f0	0x800019dc
0x80001a5c	0x80001b80
0x80001a64	0x80001c44
0x80001a6c	0x80001c44
0x80001a7c	0x80001c44
0x80001a8c	0x80001c94
0x80001aac	0x80001c44
0x80001ab4	0x80001aa8
0x80001ab8	0x80001ac4
0x80001adc	0x80001c44
0x80001ae8	0x80001b00
0x80001afc	0x80001b38
0x80001b10	0x80001d1c
0x80001b18	0x80001af0
0x80001b44	0x80001b54
0x80001b50	0x80001c48
0x80001b60	0x80001c48
0x80001b70	0x80001b5c
0x80001ca4	0x80001ca0
0x80001cb4	0x80001ca0
0x80001cbc	0x80001cd0
0x80001ce4	0x80001d28
0x80001fe0	0x80002140
0x80001ff4	0x80001ff0
0x80002004	0x80001ff0
0x8000200c	0x80002114
0x8000204c	0x80002128
0x80002058	0x80002114
0x80002070	0x80002110
0x8000208c	0x80002110
0x80002094	0x80002110
0x8000209c	0x80002044
0x8000218c	0x80002230
0x800021ec	0x80002230
0x800021fc	0x80002274
0x80002208	0x800021cc
0x8000220c	0x80002264
0x80002268	0x800021d8
0x80002294	0x800022ac
0x8000229c	0x800022a4
0x800022a8	0x80002298
0x800022e4	0x800024bc
0x80002344	0x800024cc
0x800023a4	0x8000248c
0x800023c4	0x80002484
0x800023ec	0x800024d8
0x80002424	0x800024cc
0x800024e8	0x800024f0
0x800025ac	0x800025b8
0x80002814	0x80002828
0x8000289c	0x800028b0
0x800028c8	0x800028f0
0x800028d0	0x800028f8
0x800028e8	0x800028f8
0x80002afc	0x80002b08
0x80003ba4	0x80003bc4
0x80003bbc	0x80003be8
0x80003e68	0x80003ec0
0x80003ea8	0x80003e94
0x80003eb0	0x80003ee0
0x80003ebc	0x80003ea0
0x8000430c	0x80004368
0x80004318	0x80004340
0x80004328	0x80004338
0x8000433c	0x80004328
0x80004360	0x80004368
0x8000437c	0x80004384
0x80004390	0x80004398
0x800043a8	0x800043b4
0x800043c0	0x800043cc
0x800043dc	0x800043e4
0x800043ec	0x80004414
0x80004420	0x80004448
0x8000443c	0x800044b8
0x80004444	0x800044a0
0x80004600	0x80004614
0x8000461c	0x80004648
0x80004644	0x80004638
0x8000475c	0x8000476c
0x8000487c	0x80004894
0x800048a4	0x80004880
0x800048e8	0x800048e4
0x800048f8	0x800048e4
0x80004910	0x80004928
0x80004940	0x80004934
0x80004950	0x8000495c
0x80004ad0	0x80004af4
0x80004b4c	0x80004b7c
0x80004b60	0x80004bb0
0x80004b8c	0x80004bd8
0x80004c64	0x80004c88
0x80004c74	0x80004c88
0x80004c84	0x80004c8c
0x80004c90	0x80004d44
0x80004ca0	0x80004cb4
0x80004cb0	0x80004cbc
0x80004db4	0x80004e58
0x80004dc8	0x80004e30
0x80004ddc	0x80004ea8
0x80004df0	0x80004ed0
0x80004e04	0x80004e94
0x80004e18	0x80004e7c
0x80004e70	0x80004ef8
0x80004f08	0x80004e74
0x80004f38	0x80004f30
0x80004fd0	0x80004ff4
0x80005040	0x80005058
0x80005054	0x80005084
0x80005068	0x800050a4
0x80005164	0x80005188
0x800051d4	0x80005204
0x800051e8	0x80005238
0x80005214	0x80005260
0x800052f0	0x8000530c
0x800052f8	0x80005300
0x8000531c	0x80005330
0x80005324	0x8000533c
0x80005338	0x80005328
0x80005444	0x8000544c
0x80005448	0x80005454
0x8000547c	0x8000557c
0x80005494	0x800055d8
0x8000549c	0x80005580
0x800054a8	0x80005580
0x800054b0	0x800055ac
0x800054e0	0x80005570
0x80005550	0x8000555c
0x8000556c	0x8000552c
0x80005608	0x800057f4
0x8000564c	0x80005824
0x80005654	0x800057f8
0x80005660	0x800057f8
0x8000566c	0x8000587c
0x80005674	0x80005850
0x800056a0	0x80005728
0x80005710	0x8000575c
0x80005724	0x800056e8
0x80005784	0x800057b8
0x8000578c	0x800057e0
0x800058d8	0x80005910
0x800058ec	0x80005910
0x80005920	0x800058f8
0x80005974	0x8000597c
0x80005a40	0x80005ae8
0x80005a44	0x80005aa0
0x80005a4c	0x80005bf4
0x80005a54	0x80005ac8
0x80005a58	0x80005aac
0x80005aa0	0x80005ac8
0x80005aac	0x80005a5c
0x80005ab4	0x80005a5c
0x80005ac8	0x80005a60
0x80005ae8	0x80005ca4
0x80005b48	0x80005bc4
0x80005b60	0x80005b8c
0x80005b98	0x80005bc4
0x80005bf4	0x80005c10
0x80005bf8	0x80005c10
